S No.,Year,State,Industry,Count
1,2023,Andaman and Nicobar Islands,Automotive,1
2,2023,Andaman and Nicobar Islands,Construction,2
3,2023,Andhra Pradesh,Advertising,1
4,2023,Andhra Pradesh,Aeronautics Aerospace & Defence,1
5,2023,Andhra Pradesh,Agriculture,2
6,2023,Andhra Pradesh,Construction,5
7,2023,Andhra Pradesh,Education,5
8,2023,Andhra Pradesh,Enterprise Software,1
9,2023,Andhra Pradesh,Finance Technology,1
10,2023,Andhra Pradesh,Food & Beverages,2
11,2023,Andhra Pradesh,Healthcare & Lifesciences,5
12,2023,Andhra Pradesh,Human Resources,4
13,2023,Andhra Pradesh,Internet of Things,1
14,2023,Andhra Pradesh,IT Services,10
15,2023,Andhra Pradesh,Logistics,2
16,2023,Andhra Pradesh,Marketing,1
17,2023,Andhra Pradesh,Media & Entertainment,2
18,2023,Andhra Pradesh,Non- Renewable Energy,1
19,2023,Andhra Pradesh,Other Specialty Retailers,1
20,2023,Andhra Pradesh,Others,1
21,2023,Andhra Pradesh,Professional & Commercial Services,5
22,2023,Andhra Pradesh,Renewable Energy,2
23,2023,Andhra Pradesh,Retail,1
24,2023,Andhra Pradesh,Social Impact,1
25,2023,Andhra Pradesh,Technology Hardware,2
26,2023,Andhra Pradesh,Transportation & Storage,1
27,2023,Andhra Pradesh,Travel & Tourism,2
28,2023,Andhra Pradesh,Waste Management,1
29,2023,Assam,Agriculture,4
30,2023,Assam,Analytics,1
31,2023,Assam,Animation,1
32,2023,Assam,AR VR (Augmented + Virtual Reality),1
33,2023,Assam,Automotive,3
34,2023,Assam,Biotechnology,1
35,2023,Assam,Construction,5
36,2023,Assam,Education,1
37,2023,Assam,Events,1
38,2023,Assam,Fashion,1
39,2023,Assam,Food & Beverages,2
40,2023,Assam,Healthcare & Lifesciences,3
41,2023,Assam,Human Resources,1
42,2023,Assam,Internet of Things,1
43,2023,Assam,IT Services,2
44,2023,Assam,Media & Entertainment,1
45,2023,Assam,Professional & Commercial Services,3
46,2023,Assam,Renewable Energy,1
47,2023,Assam,Retail,1
48,2023,Assam,Sports,1
49,2023,Assam,Technology Hardware,1
50,2023,Assam,Textiles & Apparel,1
51,2023,Assam,Transportation & Storage,2
52,2023,Assam,Travel & Tourism,1
53,2023,Bihar,Aeronautics Aerospace & Defence,1
54,2023,Bihar,Agriculture,7
55,2023,Bihar,Art & Photography,1
56,2023,Bihar,Automotive,2
57,2023,Bihar,Computer Vision,1
58,2023,Bihar,Construction,14
59,2023,Bihar,Dating Matrimonial,1
60,2023,Bihar,Education,11
61,2023,Bihar,Finance Technology,1
62,2023,Bihar,Food & Beverages,6
63,2023,Bihar,Healthcare & Lifesciences,12
64,2023,Bihar,Human Resources,1
65,2023,Bihar,IT Services,4
66,2023,Bihar,Marketing,2
67,2023,Bihar,Media & Entertainment,2
68,2023,Bihar,Non- Renewable Energy,2
69,2023,Bihar,Others,1
70,2023,Bihar,Professional & Commercial Services,5
71,2023,Bihar,Retail,1
72,2023,Bihar,Technology Hardware,1
73,2023,Bihar,Textiles & Apparel,1
74,2023,Bihar,Travel & Tourism,2
75,2023,Bihar,Waste Management,2
76,2023,Chandigarh,Chemicals,1
77,2023,Chandigarh,Construction,1
78,2023,Chandigarh,Finance Technology,1
79,2023,Chandigarh,Healthcare & Lifesciences,4
80,2023,Chandigarh,House-Hold Services,1
81,2023,Chandigarh,Internet of Things,1
82,2023,Chandigarh,Transportation & Storage,1
83,2023,Chhattisgarh,Agriculture,6
84,2023,Chhattisgarh,Biotechnology,1
85,2023,Chhattisgarh,Construction,3
86,2023,Chhattisgarh,Education,2
87,2023,Chhattisgarh,Finance Technology,1
88,2023,Chhattisgarh,Food & Beverages,1
89,2023,Chhattisgarh,Healthcare & Lifesciences,3
90,2023,Chhattisgarh,Human Resources,1
91,2023,Chhattisgarh,IT Services,1
92,2023,Chhattisgarh,Logistics,2
93,2023,Chhattisgarh,Others,1
94,2023,Chhattisgarh,Professional & Commercial Services,1
95,2023,Chhattisgarh,Real Estate,1
96,2023,Chhattisgarh,Renewable Energy,1
97,2023,Chhattisgarh,Retail,2
98,2023,Chhattisgarh,Social Impact,1
99,2023,Chhattisgarh,Technology Hardware,1
100,2023,Chhattisgarh,Transportation & Storage,1
101,2023,Chhattisgarh,Travel & Tourism,1
